"geoid10","resid","expression","callsXtree","covered"
"17031010100",-1.93904328983864,Inf,3.12492055287127e-05,0.173939601982087
"17031010201",-3.3911994471047,Inf,2.81537399957569e-05,0.291896004025562
"17031010202",-3.23258826978329,NA,0,0.225376856122674
"17031010300",-2.05293166715141,Inf,5.32807797476532e-05,0.295532301269473
"17031010400",-3.14043795695433,Inf,1.95797515381609e-05,0.236618753932019
"17031010501",-1.22384275791755,Inf,4.37180242831052e-05,0.226303513139
"17031010502",-1.90424989244547,Inf,2.23208859555898e-05,0.250050380096175
"17031010503",-2.40744927743957,NA,0,0.232350864252754
"17031010600",-3.43733177209805,Inf,2.91173557511416e-05,0.299360190135035
"17031010701",-0.370195588913133,Inf,8.10436138744565e-05,0.446584455231059
"17031010702",-2.47425014142492,Inf,1.70686081991309e-05,0.181503578616623
"17031020100",-1.38305260885428,Inf,4.9713323264065e-05,0.255857543636582
"17031020200",-4.69373874222504,Inf,3.2896779456164e-05,0.274204027160903
"17031020301",-1.74631713342678,Inf,5.56629647166464e-05,0.223586983540769
"17031020302",-3.86382068323006,Inf,1.83439283489565e-05,0.267133715211811
"17031020400",-1.49889927046466,Inf,5.97318700314576e-05,0.340957053856938
"17031020500",-4.29514375533561,Inf,2.40658006057257e-05,0.275700422204089
"17031020601",-2.63468614541296,Inf,3.82953981536665e-05,0.23617869125227
"17031020602",-1.32939573139518,Inf,5.3940140161092e-05,0.248115899746014
"17031020701",-1.14746938736764,Inf,4.36436114647968e-05,0.350797322111788
"17031020702",-3.36175566953701,Inf,2.92275949570845e-05,0.218078894291214
"17031020801",-2.84002028331782,Inf,3.18710147605632e-05,0.215939784998517
"17031020802",2.25292737303042,Inf,0.00018466411194003,0.229503973960821
"17031020901",-1.57935916787035,Inf,4.4721838268412e-05,0.150079219634433
"17031020902",-3.27425828558082,Inf,1.11687933605272e-05,0.193875874463714
"17031030101",-1.67663419545719,NA,0,0.161840823855415
"17031030102",2.14193018981393,Inf,0.000411930322420699,0.0795368073207775
"17031030103",-1.17347817337927,NA,0,0.15465124410316
"17031030104",-1.38523802257921,NA,0,0.120015213535899
"17031030200",-3.54402217512009,Inf,3.25477109418929e-05,0.29122900183325
"17031030300",-1.2422160090431,Inf,4.59080808033982e-05,0.307436261423043
"17031030400",0.43074046159914,Inf,9.34326460720231e-05,0.23604656672085
"17031030500",-3.53770547485722,Inf,2.75782641612447e-05,0.281697455936799
"17031030601",-0.545155360058843,Inf,5.39350200798184e-05,0.140984396560542
"17031030603",-1.42644420660508,NA,0,0.156848174811959
"17031030604",1.18544897415153,Inf,0.000163135715654077,0.140392923385029
"17031030701",-1.03391186322511,NA,0,0.10591619998707
"17031030702",-0.111739848539009,NA,0,0.0176222360116653
"17031030703",-2.29935974956092,NA,0,0.216108789178218
"17031030706",-1.75585409287398,Inf,2.27535994410056e-05,0.223593823811021
"17031030800",-3.74460408747882,Inf,2.28043995303359e-05,0.332751000416747
"17031030900",-2.98951094832827,Inf,1.14843205116228e-05,0.24655163392914
"17031031000",-3.00787134568283,Inf,1.18541022392241e-05,0.214193748826661
"17031031100",-3.44286755336198,Inf,1.67164726453763e-05,0.229300261371615
"17031031200",-2.43403091346353,NA,0,0.0952735238150783
"17031031300",-2.78361366119462,Inf,1.66240420423551e-05,0.234448481328801
"17031031400",-1.91377521719116,Inf,2.48063874021138e-05,0.189586529394857
"17031031501",-1.70543916488028,NA,0,0.113372086295572
"17031031502",-0.555459644948218,Inf,5.85346004558944e-05,0.113846039963151
"17031031700",-3.05461878876701,Inf,2.87437971620443e-05,0.218587399259571
"17031031800",-1.16865793906757,Inf,2.65930117866504e-05,0.195789920179035
"17031031900",-2.92532691393931,NA,0,0.213268586522422
"17031032100",-3.07319211154051,Inf,1.45685149282311e-05,0.174265040444022
"17031040100",-9.69115779126917,Inf,7.1177701310259e-06,0.402386240149281
"17031040201",-2.75832210320323,Inf,3.42237715852854e-05,0.179492182660246
"17031040202",-3.95661514595452,Inf,9.65484533652729e-06,0.186369425294457
"17031040300",-0.77416330395427,Inf,6.27280944482295e-05,0.358634897755787
"17031040401",-3.82943349585598,NA,0,0.242351859062942
"17031040402",-2.91718187714826,Inf,2.06895271930579e-05,0.240161393660068
"17031040600",-3.36688308565343,NA,0,0.247221141973688
"17031040700",-3.83905546830067,NA,0,0.250212543387287
"17031040800",-1.68614371363729,Inf,1.83992116808567e-05,0.267714394583173
"17031040900",-2.21025753529925,Inf,1.47198562885657e-05,0.274619584336665
"17031050100",-1.57559505448439,Inf,2.18962753529174e-05,0.18442636330953
"17031050200",-2.9505974611246,Inf,2.99576554239077e-05,0.217159902186304
"17031050300",-1.98960529705711,Inf,2.5133025662257e-05,0.222722860064861
"17031050500",-2.42895733494653,Inf,4.17950911253252e-05,0.237964839117945
"17031050600",-1.88703924919303,Inf,1.82773730723637e-05,0.209983949807199
"17031050700",-0.579023891550619,Inf,4.483771938002e-05,0.298419435209501
"17031050800",0.483236521510596,Inf,8.35601649889553e-05,0.224124687556648
"17031050900",-0.762537059032188,Inf,3.26306155735061e-05,0.200906394706511
"17031051000",-0.855015258751452,Inf,3.11143591156257e-05,0.207313964998811
"17031051100",-0.24728198729603,Inf,5.61929512482318e-05,0.218757416618835
"17031051200",1.89167080704787,Inf,0.00016331521115652,0.244947019644102
"17031051300",-1.93843969020243,Inf,2.58520080461794e-05,0.246428597285411
"17031051400",-1.46888143189252,Inf,3.0568971534027e-05,0.209284731616168
"17031060100",-3.01940458067609,Inf,1.02192975258748e-05,0.332082154338213
"17031060200",-1.82339258123156,Inf,2.53563091624193e-05,0.297496483381856
"17031060300",-2.12977748457295,Inf,2.48748773889392e-05,0.266008611589201
"17031060400",-2.85864151422672,Inf,1.28417727498966e-05,0.253980431886623
"17031060500",-3.05040558789702,NA,0,0.34184800546516
"17031060800",-1.90719853178443,NA,0,0.149995612240956
"17031060900",-0.566945495449597,Inf,7.75264985837992e-05,0.120166041010822
"17031061000",-0.763335325129339,Inf,3.64276998888059e-05,0.163673226087888
"17031061100",-1.47169212631261,NA,0,0.159895591265254
"17031061200",-0.282537955467319,Inf,6.33122061975337e-05,0.181584435866574
"17031061500",-0.97748824503065,Inf,3.21099810973994e-05,0.204223523441428
"17031061800",-1.3597713736485,NA,0,0.182136380656209
"17031061901",-0.215802176498126,Inf,8.00430286574548e-05,0.159701880269401
"17031061902",-1.32879076801937,NA,0,0.0998657147515143
"17031062000",-1.52984871343591,Inf,2.44763437242956e-05,0.185527397794871
"17031062100",0.0290586981224186,Inf,9.04359565462325e-05,0.0912460752921951
"17031062200",-0.173102152143616,Inf,7.73850440258494e-05,0.163243961428653
"17031062300",-0.776830850048109,Inf,3.39847815923744e-05,0.183007853971171
"17031062400",-0.207739933683318,Inf,6.08548601624487e-05,0.211779274535687
"17031062500",-0.477309136117043,Inf,4.09653772610345e-05,0.158143037203013
"17031062600",-0.465443522457572,Inf,5.43013157192121e-05,0.11894907009171
"17031062700",-2.91036002847411,NA,0,0.167567311731509
"17031062800",-1.07363752233253,Inf,5.11355688611902e-05,0.180177155564132
"17031062900",-3.88533653853228,NA,0,0.243037722919063
"17031063000",-1.57478502690641,Inf,2.58723659483088e-05,0.145201140279455
"17031063100",-1.88043648653912,NA,0,0.138705265288396
"17031063200",-2.8895794011847,NA,0,0.177964633576241
"17031063301",-1.48946443653415,NA,0,0.143344848867118
"17031063302",-1.81161604030155,NA,0,0.143099253388834
"17031063303",-0.857990702077002,NA,0,0.158299981393636
"17031063400",-1.6027563657211,NA,0,0.114070158911223
"17031070101",-1.856998505674,NA,0,0.170741058161453
"17031070102",-1.53142829499784,NA,0,0.122495626150948
"17031070103",-1.36640784940375,NA,0,0.183559111320953
"17031070200",0.65078833916042,Inf,0.000119230920747846,0.200166130534255
"17031070300",-1.78130866185648,Inf,3.11639519412317e-05,0.213522419358721
"17031070400",-2.40780122835984,Inf,1.52025184944602e-05,0.235907888735928
"17031070500",-2.12652501974809,Inf,1.75054478022105e-05,0.20382683524508
"17031070600",-2.21208751060853,Inf,1.59588832986846e-05,0.186582820633096
"17031070700",-3.03164063658142,NA,0,0.0967145618504713
"17031071000",-1.28388211656446,Inf,4.96749514923622e-05,0.202249143522784
"17031071100",-3.83091614433472,NA,0,0.276095117019016
"17031071200",-1.3301944980718,Inf,3.30930337483985e-05,0.232770771077264
"17031071300",-2.86294461205166,Inf,1.2755232856148e-05,0.266320309770837
"17031071400",-1.12590849292221,Inf,3.82994127180419e-05,0.14769922119939
"17031071500",-2.4459197320347,Inf,1.84512555058382e-05,0.191118631218136
"17031071600",-2.59074976440372,NA,0,0.291695871827027
"17031071700",-2.42337133650207,NA,0,0.273465847476049
"17031071800",-0.779963203199781,Inf,5.27651293790997e-05,0.238401417593445
"17031080100",-2.99228616900682,NA,0,0.204254969924644
"17031080201",-2.11623659533227,NA,0,0.201565573983839
"17031080202",-2.16897253300325,NA,0,0.172353940351506
