geoid,B17001001 - Total:,B17001002 - Income in the past 12 months below poverty level:,B19057001 - Total:,B19057002 - With public assistance income,B11001002 - Family households:,"B11001006 - Female householder, no husband present",B23025003 - Civilian labor force:,B23025005 - Unemployed,B02001001 - Total:,B02001003 - Black or African American alone,B03001001 - Total:,B03001003 - Hispanic or Latino:,B05002001 - Total:,B05002009 - Born outside the United States:,B07001001 - Total:,B07001017 - Same house 1 year ago:,B25003001 - Total:,B25003002 - Owner occupied
14000US17031640600,4119,708,1611,36,1140,239,2168,229,4123,0,4123,1450,4123,47,4021,3281,1611,833
14000US17031640700,3049,252,1027,45,813,186,1655,134,3049,0,3049,1782,3049,31,2935,2770,1027,861
14000US17031640800,1709,320,468,22,378,119,953,117,1709,87,1709,1246,1709,19,1703,1361,468,367
14000US17031650100,4794,1240,1188,15,1073,225,2606,254,4805,139,4805,3949,4805,10,4706,4205,1188,696
14000US17031650200,7139,1405,2009,38,1601,288,3533,456,7139,102,7139,5639,7139,276,7045,6661,2009,1307
14000US17031650301,5729,800,1542,6,1275,293,2547,288,5729,61,5729,4522,5729,151,5615,5275,1542,1304
14000US17031650302,4116,602,1080,0,939,94,2123,267,4116,117,4116,3516,4116,117,4104,4013,1080,946
14000US17031650400,7254,1538,1669,34,1381,267,3322,387,7254,320,7254,6147,7254,69,7155,5952,1669,1318
14000US17031650500,4131,708,1443,10,909,152,2065,234,4156,378,4156,2803,4156,71,4156,3935,1443,1080
14000US17031660301,1917,832,538,44,421,257,706,158,1917,987,1917,793,1917,0,1883,1496,538,102
14000US17031660302,5657,1137,1368,69,1059,336,2378,398,5657,936,5657,4539,5657,146,5582,4953,1368,509
14000US17031660400,5528,1698,1485,51,1179,281,2315,358,5547,240,5547,5050,5547,65,5462,5009,1485,775
14000US17031660500,5431,1590,1286,6,1013,301,2275,293,5431,949,5431,4167,5431,30,5411,4744,1286,632
14000US17031660600,6131,2545,1823,157,1358,785,2485,513,6192,4071,6192,1992,6192,0,6036,5021,1823,628
14000US17031660700,2399,1108,618,44,443,200,1022,301,2426,2204,2426,24,2426,10,2426,1963,618,303
14000US17031660800,6501,2116,1790,134,1386,542,2828,563,6585,3512,6585,2912,6585,57,6435,5590,1790,744
14000US17031660900,4571,1933,1311,176,965,597,1969,511,4592,3928,4592,275,4592,0,4466,3889,1311,396
14000US17031661000,5640,1191,1949,40,1398,755,2630,699,5651,5314,5651,93,5651,12,5553,5112,1949,1084
14000US17031661100,5826,1303,1750,55,1349,576,2859,334,5887,3052,5887,2460,5887,97,5732,5398,1750,1318
14000US17031670100,1696,774,455,5,333,204,593,145,1798,1748,1798,0,1798,7,1724,1502,455,136
14000US17031670200,1084,414,349,46,234,139,450,199,1093,1005,1093,88,1093,0,1065,854,349,156
14000US17031670300,1239,647,391,48,298,226,590,204,1259,1132,1259,20,1259,0,1217,986,391,137
14000US17031670400,1851,990,450,69,333,181,714,189,1851,1572,1851,188,1851,0,1802,1592,450,191
14000US17031670500,1212,547,365,21,295,207,507,200,1212,1151,1212,56,1212,15,1202,998,365,224
14000US17031670600,1599,669,517,4,332,198,775,278,1603,1450,1603,88,1603,0,1578,1442,517,268
14000US17031670700,1483,486,397,26,311,212,469,131,1483,1413,1483,55,1483,20,1479,1230,397,165
14000US17031670800,1660,819,580,19,358,152,790,358,1666,1631,1666,34,1666,0,1666,1353,580,217
14000US17031670900,1440,368,485,15,355,163,781,338,1440,1423,1440,0,1440,0,1418,1401,485,230
14000US17031671100,1524,1057,373,37,304,189,389,202,1524,1521,1524,0,1524,0,1461,1392,373,137
14000US17031671200,995,429,346,3,239,118,421,181,1018,968,1018,0,1018,0,1018,762,346,191
14000US17031671300,2326,1145,653,7,453,264,1213,369,2339,2304,2339,0,2339,0,2335,2066,653,348
14000US17031671400,1667,409,480,29,404,274,729,183,1704,1662,1704,66,1704,0,1688,1543,480,248
14000US17031671500,3657,1305,1033,88,750,579,1530,736,3730,3591,3730,28,3730,9,3670,2874,1033,402
14000US17031671600,2252,1005,756,30,483,238,842,358,2252,2068,2252,114,2252,12,2244,1791,756,296
14000US17031671800,1119,423,350,47,258,131,523,244,1119,1055,1119,10,1119,0,1119,1085,350,167
14000US17031671900,1302,278,340,14,262,147,643,254,1307,1303,1307,0,1307,0,1298,1137,340,253
14000US17031672000,3794,826,1029,75,768,321,1580,446,3912,3659,3912,222,3912,0,3826,3239,1029,678
14000US17031680500,1322,597,388,32,317,226,542,219,1322,1169,1322,100,1322,10,1279,949,388,192
14000US17031680600,1760,925,554,49,378,256,690,228,1760,1659,1760,0,1760,5,1708,1432,554,126
14000US17031680900,3368,1725,1524,101,711,441,1309,490,3398,3291,3398,48,3398,0,3385,2734,1524,185
14000US17031681000,2858,1638,1097,79,601,363,865,278,2888,2809,2888,76,2888,0,2811,2444,1097,326
14000US17031681100,3429,1697,1040,111,737,605,1305,484,3510,3477,3510,33,3510,11,3423,2641,1040,263
14000US17031681200,2514,1290,800,94,579,418,930,408,2524,2409,2524,0,2524,0,2497,2041,800,245
14000US17031681300,2810,1229,869,75,579,406,999,361,2810,2731,2810,12,2810,0,2755,2171,869,285
14000US17031681400,3166,1497,967,58,646,464,1313,378,3166,3154,3166,0,3166,0,3137,2592,967,446
14000US17031690300,1828,769,755,55,437,321,876,190,2213,2027,2213,12,2213,0,2162,1586,755,90
14000US17031690400,3523,1436,1313,79,774,589,1625,538,3531,3455,3531,122,3531,0,3519,2906,1313,367
14000US17031690500,1011,393,304,55,200,164,446,79,1011,1006,1011,0,1011,0,974,873,304,102
14000US17031690900,4734,1605,1877,90,1066,646,2093,491,4743,4578,4743,52,4743,0,4674,4461,1877,612
14000US17031691000,2434,631,984,11,502,315,1167,155,2434,2379,2434,7,2434,0,2423,2023,984,449
14000US17031691100,3094,1587,1144,114,695,457,1178,385,3101,2983,3101,56,3101,0,3060,2607,1144,333
14000US17031691200,2952,1403,998,32,727,452,1307,189,2952,2792,2952,0,2952,0,2941,2308,998,276
14000US17031691300,2669,239,982,45,593,282,1441,277,2693,2669,2693,31,2693,7,2628,2161,982,595
14000US17031691400,3236,746,1318,45,616,310,1541,347,3236,3139,3236,7,3236,0,3194,2750,1318,690
14000US17031691500,2034,886,706,48,458,283,1041,355,2059,1955,2059,122,2059,11,2018,1319,706,217
14000US17031700100,2990,387,954,103,758,243,1654,144,2990,2022,2990,709,2990,26,2975,2290,954,806
14000US17031700200,6892,1259,1780,49,1433,430,3348,442,6902,934,6902,4796,6902,14,6723,6414,1780,1509
14000US17031700301,6064,1183,1679,0,1391,251,2759,355,6064,733,6064,3797,6064,133,5935,5565,1679,1451
14000US17031700302,5806,798,1696,45,1317,352,2934,291,5806,1250,5806,2587,5806,36,5694,5117,1696,1524
14000US17031700401,6032,435,1810,57,1390,369,3291,279,6125,3436,6125,1758,6125,86,6081,5793,1810,1548
14000US17031700402,3845,616,1250,21,1048,251,2027,277,3845,2476,3845,765,3845,34,3769,3672,1250,1146
14000US17031700501,7620,448,2590,71,1864,681,4072,627,7968,7304,7968,192,7968,0,7968,7499,2590,2149
14000US17031700502,2981,227,1068,15,787,194,1639,326,3121,2898,3121,95,3121,20,3058,2692,1068,927
14000US17031710100,1376,883,504,85,306,246,565,233,1377,1308,1377,68,1377,0,1344,1152,504,102
14000US17031710200,6279,3076,2035,158,1346,1059,2576,923,6279,6123,6279,83,6279,8,6151,4653,2035,463
14000US17031710300,1546,516,571,4,321,239,664,197,1546,1546,1546,0,1546,0,1546,1363,571,215
14000US17031710400,5214,1316,1893,122,1211,523,2522,646,5214,5050,5214,62,5214,11,5202,4555,1893,1091
14000US17031710500,4290,1325,1617,115,960,637,1966,610,4330,4163,4330,58,4330,0,4314,3613,1617,478
14000US17031710600,1819,882,650,32,420,229,661,166,1847,1847,1847,0,1847,0,1801,1494,650,259
14000US17031710700,2682,859,1214,84,642,406,1199,335,2682,2571,2682,26,2682,0,2627,2425,1214,417
14000US17031710800,4739,438,1739,187,1093,562,2057,409,4783,4585,4783,104,4783,0,4598,4171,1739,628
14000US17031710900,2583,1249,779,33,593,313,993,327,2619,2590,2619,5,2619,0,2580,2373,779,350
14000US17031711000,3467,990,1243,99,796,540,1600,592,3485,3447,3485,42,3485,0,3434,3071,1243,672
14000US17031711100,3320,1169,1035,49,716,419,1360,424,3320,3320,3320,11,3320,0,3309,2978,1035,464
14000US17031711200,5044,1118,1898,43,1289,735,2213,371,5057,5030,5057,0,5057,0,5057,4446,1898,1206
14000US17031711300,1627,399,525,6,410,198,804,257,1660,1558,1660,123,1660,0,1634,1413,525,304
14000US17031711400,2108,634,795,45,428,198,866,265,2146,2133,2146,71,2146,1,2127,1730,795,579
14000US17031711500,2578,368,817,25,608,344,1211,292,2589,2550,2589,0,2589,0,2563,2466,817,572
14000US17031720100,4135,25,1440,0,1108,66,2141,85,4135,1458,4135,500,4135,7,4033,3777,1440,1365
14000US17031720200,4558,415,1587,51,1065,241,2188,287,4558,2733,4558,175,4558,37,4519,4035,1587,1133
14000US17031720300,3711,24,1221,0,939,60,1715,107,3712,1135,3712,312,3712,8,3708,3465,1221,1212
14000US17031720400,2124,19,780,3,539,54,1175,121,2125,65,2125,110,2125,28,2106,1931,780,707
14000US17031720500,2149,51,779,0,540,47,1167,61,2149,62,2149,116,2149,0,2123,2095,779,754
14000US17031720600,1790,63,623,9,450,12,917,68,1790,303,1790,19,1790,15,1757,1734,623,524
14000US17031720700,3274,156,1366,81,809,297,1892,131,3293,2073,3293,72,3293,17,3225,3118,1366,723
14000US17031730100,2438,484,913,21,669,285,1193,344,2438,2384,2438,18,2438,35,2434,2337,913,742
14000US17031730201,5674,1496,2280,159,1454,840,2628,507,5714,5417,5714,110,5714,0,5634,5113,2280,965
14000US17031730202,3167,764,950,26,758,319,1601,518,3393,3208,3393,102,3393,8,3376,3238,950,828
14000US17031730300,1043,197,378,5,256,92,519,115,1043,1039,1043,4,1043,0,1034,799,378,213
14000US17031730400,3517,532,1261,48,835,331,1778,421,3524,3417,3524,27,3524,16,3524,3262,1261,897
14000US17031730500,4459,751,1587,34,947,574,2147,340,4479,4297,4479,29,4479,19,4422,4294,1587,1206
14000US17031730600,3333,292,1275,54,818,461,1524,288,3343,3266,3343,0,3343,0,3319,2983,1275,902
14000US17031730700,2298,578,720,60,533,233,931,270,2307,2291,2307,0,2307,0,2265,2109,720,571
14000US17031740100,2826,65,1131,16,749,69,1489,93,2826,0,2826,135,2826,35,2717,2530,1131,1050
14000US17031740200,5669,197,1938,0,1513,212,3185,327,6249,174,6249,371,6249,0,6234,5865,1938,1886
14000US17031740300,4612,59,1633,13,1146,131,2425,124,4612,82,4612,342,4612,18,4540,4397,1633,1495
14000US17031740400,4710,217,1759,75,1137,212,2655,305,4710,571,4710,272,4710,0,4569,4274,1759,1327
14000US17031750100,4379,1237,1443,48,1071,639,2022,438,4419,4157,4419,118,4419,0,4368,4016,1443,1007
14000US17031750200,2893,196,1113,40,765,120,1516,176,2893,1539,2893,43,2893,0,2869,2783,1113,944
14000US17031750300,2950,34,944,19,692,95,1562,120,2950,362,2950,213,2950,22,2897,2700,944,763
14000US17031750400,3232,143,1193,10,770,154,1986,151,3248,841,3248,42,3248,6,3182,3040,1193,952
14000US17031750500,6095,893,2088,50,1284,468,2856,321,6390,4504,6390,32,6390,19,6336,5933,2088,1470
14000US17031750600,3589,1082,1201,51,797,399,1542,425,3668,3552,3668,16,3668,0,3602,3179,1201,902
14000US17031760801,4272,870,2156,20,898,209,2475,135,4272,108,4272,295,4272,233,4250,3739,2156,493
14000US17031760802,2191,237,1085,0,645,93,1129,62,2191,0,2191,244,2191,53,2185,1962,1085,845
14000US17031760803,7237,1673,2834,15,1825,122,3929,424,7237,67,7237,1201,7237,235,7021,6395,2834,1379
14000US17031770500,3747,718,1127,28,782,203,2156,162,3771,72,3771,3051,3771,0,3688,3610,1127,783
14000US17031770602,4744,908,1568,17,1135,121,2550,172,4944,62,4944,2324,4944,103,4920,4688,1568,856
14000US17031770700,2680,308,1282,19,707,155,1557,148,2680,103,2680,277,2680,93,2660,2378,1282,465
14000US17031770800,5862,702,2076,25,1473,258,3278,356,5862,195,5862,1281,5862,23,5784,5562,2076,1500
14000US17031770902,3328,314,1471,28,890,161,1779,98,3329,11,3329,182,3329,41,3276,3118,1471,991
14000US17031805600,4625,143,1496,26,1224,124,2225,148,4625,23,4625,197,4625,50,4625,4352,1496,1354
14000US17031807900,4176,172,1361,14,1179,112,2128,118,4176,0,4176,493,4176,137,4164,3881,1361,1272
14000US17031808100,2964,243,1544,0,771,194,1408,84,3514,184,3514,111,3514,45,3457,3014,1544,1307
14000US17031810400,5340,252,2123,34,1459,143,2748,159,5340,1,5340,382,5340,106,5321,5153,2123,1943
14000US17031821402,3780,494,1347,21,907,394,1980,375,3780,3511,3780,48,3780,34,3780,3379,1347,928
14000US17031823304,5975,853,2282,16,1340,394,3213,337,5975,821,5975,1306,5975,49,5915,5372,2282,1482
14000US17031830500,4131,1147,983,50,838,152,1970,262,4202,32,4202,4042,4202,0,4194,3979,983,653
14000US17031830600,5104,1474,1944,80,895,214,3177,142,5129,835,5129,2269,5129,37,5105,4201,1944,616
14000US17031830700,3466,1153,1783,85,545,170,2400,399,3542,1133,3542,467,3542,83,3515,2456,1783,583
14000US17031830800,2503,206,1444,54,416,69,1930,117,2503,188,2503,186,2503,21,2465,2022,1444,283
14000US17031830900,2649,235,1161,25,567,147,1863,93,2649,43,2649,962,2649,112,2535,2151,1161,578
14000US17031831000,2458,20,1161,30,528,34,1817,123,2458,97,2458,164,2458,9,2383,1818,1161,725
14000US17031831100,7694,1318,2591,111,1716,259,4146,325,7733,268,7733,4610,7733,220,7662,6653,2591,1116
14000US17031831200,5049,1199,1353,31,1049,207,2599,407,5049,225,5049,4464,5049,464,5032,4077,1353,522
14000US17031831300,1227,317,397,7,309,100,490,94,1227,407,1227,785,1227,46,1198,1113,397,242
14000US17031831400,2285,855,1025,37,597,346,931,122,2536,2001,2536,158,2536,41,2514,2089,1025,291
14000US17031831500,3770,333,1162,20,753,198,2072,174,3773,194,3773,2269,3773,96,3763,3494,1162,780
14000US17031831600,6808,1000,2384,46,1597,281,3680,636,6870,499,6870,3924,6870,420,6852,6157,2384,1135
14000US17031831700,2215,244,734,35,474,67,1292,185,2219,99,2219,1270,2219,0,2198,1976,734,396
14000US17031831800,5816,849,2039,26,1425,153,3536,369,6136,347,6136,1456,6136,108,6003,5021,2039,869
14000US17031831900,2566,133,1265,0,433,39,1972,57,2566,1,2566,79,2566,33,2537,1913,1265,592
14000US17031832000,2014,360,943,16,265,5,1593,104,2014,80,2014,264,2014,10,1978,1282,943,371
14000US17031832100,3249,679,1774,137,516,158,2459,235,3249,700,3249,189,3249,71,3226,2082,1774,533
14000US17031832200,3066,241,1512,23,503,18,2258,78,3067,82,3067,532,3067,54,3051,2498,1512,642
14000US17031832300,2233,134,914,5,439,14,1511,58,2233,63,2233,472,2233,54,2146,1812,914,432
14000US17031832400,3442,605,1205,8,624,87,2087,103,3442,79,3442,1629,3442,261,3419,2706,1205,596
14000US17031832500,3231,781,1361,67,664,158,1920,140,3602,277,3602,397,3602,25,3544,2611,1361,631
14000US17031832600,4267,489,1940,17,812,49,3063,142,4269,102,4269,252,4269,41,4215,3159,1940,1040
14000US17031832900,2455,939,1040,15,375,43,1457,89,2455,70,2455,223,2455,64,2372,1636,1040,330
14000US17031833000,2534,304,1427,0,507,10,1904,65,2534,336,2534,38,2534,0,2468,1949,1427,749
14000US17031833100,6879,1013,3795,47,1552,297,5259,349,7113,930,7113,365,7113,86,6985,5258,3795,2457
14000US17031833300,2267,908,873,6,302,99,1415,166,2267,163,2267,330,2267,48,2255,1505,873,333
14000US17031833900,2442,1060,730,58,563,253,937,146,2450,1086,2450,1341,2450,54,2390,1993,730,277
14000US17031834000,3811,711,1187,48,958,575,1588,318,3822,3593,3822,138,3822,0,3808,2819,1187,227
14000US17031834200,4759,1683,2022,128,1175,605,2441,669,4759,4703,4759,60,4759,0,4685,3798,2022,616
14000US17031834300,6277,1136,2467,66,1576,862,3311,665,6341,6223,6341,1,6341,0,6322,5665,2467,1575
14000US17031834400,3943,1010,1659,45,892,561,1771,346,3943,3674,3943,47,3943,0,3943,3379,1659,578
14000US17031834500,1607,768,484,67,372,295,615,224,1619,1480,1619,56,1619,0,1601,956,484,149
14000US17031834600,3150,1238,962,130,662,480,961,337,3150,3064,3150,0,3150,0,3136,2473,962,298
14000US17031834700,2018,955,653,76,443,262,688,219,2020,1916,2020,39,2020,0,1999,1732,653,345
14000US17031834800,1784,895,664,28,366,279,589,186,1813,1794,1813,0,1813,0,1778,1542,664,214
14000US17031834900,2322,1115,834,52,428,271,779,295,2322,2245,2322,16,2322,0,2248,1706,834,222
14000US17031835000,5641,2384,1668,62,1092,494,2229,527,5713,3386,5713,2104,5713,114,5621,4652,1668,501
14000US17031835100,5492,1103,1307,120,1082,163,2689,585,5492,889,5492,4475,5492,37,5355,4678,1307,828
14000US17031835200,1769,226,591,7,396,76,849,94,1769,6,1769,987,1769,0,1769,1624,591,402
14000US17031835500,1545,554,752,173,299,179,562,149,1545,1305,1545,197,1545,8,1526,1229,752,193
14000US17031835600,1253,521,410,65,263,156,512,233,1253,1229,1253,8,1253,0,1236,1190,410,193
14000US17031835700,230,230,71,10,71,10,125,125,230,210,230,0,230,0,230,210,71,0
14000US17031835800,1400,499,588,47,296,174,855,246,1439,1385,1439,29,1439,27,1394,943,588,266
14000US17031835900,3488,1446,1535,94,732,513,1577,378,3494,3150,3494,139,3494,8,3478,2807,1535,379
14000US17031836000,2653,863,1040,51,655,369,1480,368,2658,2460,2658,47,2658,0,2625,2082,1040,504
14000US17031836100,1633,603,608,70,379,245,817,190,1681,1668,1681,82,1681,55,1629,1204,608,105
14000US17031836200,308,45,94,0,60,0,475,64,1499,93,1499,33,1499,39,1471,877,94,64
14000US17031836300,1555,205,668,26,352,105,1001,141,1577,1074,1577,30,1577,14,1577,1154,668,321
14000US17031836400,3092,1014,1534,87,739,358,1535,355,3114,2881,3114,121,3114,30,3083,2410,1534,453
14000US17031836500,1646,706,651,11,439,351,801,264,1646,1574,1646,53,1646,0,1602,1460,651,63
14000US17031836600,2215,690,931,47,406,174,1106,137,2276,780,2276,1284,2276,178,2276,2009,931,265
14000US17031836700,2480,908,766,63,554,384,802,103,2506,1965,2506,533,2506,26,2446,2210,766,193
14000US17031836800,2552,1281,939,75,524,371,818,174,2566,2409,2566,38,2566,10,2463,2154,939,228
14000US17031836900,1673,544,499,49,362,221,690,103,1673,1579,1673,60,1673,0,1652,1463,499,140
14000US17031837000,2326,872,833,37,456,244,982,164,2338,2145,2338,119,2338,12,2288,2039,833,204
14000US17031837100,2058,670,875,5,397,152,802,150,2071,1702,2071,135,2071,0,2046,1600,875,253
14000US17031837300,1764,866,595,35,406,256,595,74,2035,1866,2035,64,2035,11,2022,1376,595,205
14000US17031837400,2000,859,627,40,390,260,724,185,2000,1870,2000,11,2000,0,1978,1565,627,112
14000US17031837800,3157,866,1142,81,622,249,1757,342,3431,2600,3431,359,3431,9,3397,2568,1142,226
14000US17031838000,2923,1349,1265,205,522,269,1403,311,2923,1957,2923,306,2923,26,2914,2130,1265,390
14000US17031838100,1853,511,1160,69,267,104,1119,164,1860,857,1860,196,1860,0,1854,1289,1160,158
14000US17031838200,927,261,370,0,163,64,748,65,1733,316,1733,321,1733,32,1733,927,370,221
14000US17031838300,1280,427,565,41,248,141,745,85,1379,727,1379,276,1379,8,1379,1225,565,57
14000US17031838600,1565,779,411,80,294,251,340,73,1774,1704,1774,50,1774,6,1744,962,411,54
14000US17031838700,4566,1812,1293,99,947,668,1376,404,4584,4200,4584,276,4584,19,4518,3853,1293,247
14000US17031838800,3405,1481,1027,58,784,488,1195,302,3405,1942,3405,1292,3405,13,3383,2702,1027,369
14000US17031839000,7488,1471,4128,24,1419,187,5725,268,8126,1013,8126,393,8126,192,7962,5319,4128,2052
14000US17031839100,3789,810,2272,75,544,45,3160,231,4897,761,4897,306,4897,56,4836,2735,2272,916
14000US17031839200,2224,416,1342,51,411,265,1418,242,2226,1726,2226,50,2226,57,2222,1631,1342,524
14000US17031839500,1393,278,801,27,272,65,650,60,1558,1150,1558,48,1558,0,1558,1299,801,319
14000US17031839600,1685,410,889,0,361,154,922,182,1891,1662,1891,23,1891,0,1874,1540,889,318
14000US17031839700,4971,1565,1780,72,1020,321,2784,544,4971,109,4971,2391,4971,86,4951,3984,1780,872
14000US17031839800,2865,455,1160,39,704,194,1641,180,2865,7,2865,912,2865,34,2827,2507,1160,412
14000US17031839900,3678,631,1542,64,974,208,1990,237,3686,46,3686,845,3686,0,3601,3218,1542,946
14000US17031840000,2624,324,993,13,638,101,1455,202,2624,43,2624,468,2624,20,2535,2232,993,754
14000US17031840100,3002,948,979,60,689,135,1626,405,3011,0,3011,627,3011,27,3000,2683,979,336
14000US17031840200,2474,556,809,44,571,78,1425,163,2495,23,2495,498,2495,13,2459,2114,809,465
14000US17031840300,4213,1245,1173,59,908,173,2189,339,4213,112,4213,2753,4213,100,4192,3910,1173,747
14000US17031840400,3228,1057,1173,61,706,247,1564,273,3228,110,3228,1392,3228,15,3204,2823,1173,711
14000US17031840700,4243,1779,1115,154,783,275,2204,376,4296,123,4296,3798,4296,124,4216,3882,1115,315
14000US17031840800,3598,1251,890,120,746,271,1448,318,3598,8,3598,3511,3598,9,3520,3340,890,329
14000US17031841000,689,190,411,14,145,49,416,79,689,383,689,0,689,30,666,592,411,216
14000US17031841100,7535,2803,2661,145,1912,397,4268,615,7536,233,7536,50,7536,75,7493,6481,2661,1257
14000US17031841200,5640,1899,1662,105,1165,404,2755,404,5640,304,5640,4841,5640,41,5587,4604,1662,481
14000US17031841300,4390,1189,1439,168,955,318,2307,353,4390,83,4390,3859,4390,39,4348,3962,1439,404
14000US17031841400,1391,716,416,20,320,212,504,180,1391,1200,1391,120,1391,0,1362,803,416,102
14000US17031841500,2795,1461,765,98,619,462,906,321,2795,2622,2795,124,2795,4,2739,2020,765,128
14000US17031841600,754,372,239,30,179,126,211,53,754,742,754,0,754,0,754,663,239,37
14000US17031841700,1349,587,637,114,256,109,496,83,1349,877,1349,451,1349,25,1349,1231,637,175
14000US17031841800,2369,758,907,72,555,407,869,185,2372,2267,2372,165,2372,14,2338,2023,907,390
14000US17031841900,3310,620,1569,0,609,36,3051,369,5098,791,5098,777,5098,61,5028,3173,1569,968
14000US17031842000,949,313,387,0,216,62,1147,202,3001,1100,3001,188,3001,61,3001,1799,387,281
14000US17031842100,6644,2901,2069,128,1463,763,2711,453,6758,4247,6758,2606,6758,358,6624,5840,2069,906
14000US17031842200,2601,390,1510,121,450,103,1852,82,2601,722,2601,309,2601,92,2566,2083,1510,635
14000US17031842300,3407,527,1596,33,534,82,2526,228,3407,520,3407,249,3407,41,3366,2619,1596,778
14000US17031842400,3454,1156,1400,50,687,369,1500,415,3454,3454,3454,0,3454,0,3439,3080,1400,780
14000US17031842500,2459,1766,807,108,594,513,732,280,2459,2454,2459,3,2459,0,2357,1968,807,106
14000US17031842600,4874,1024,1390,200,1159,172,2476,389,4874,36,4874,1721,4874,20,4846,3999,1390,752
14000US17031842800,7499,2452,1909,180,1503,235,3183,487,7539,10,7539,6708,7539,134,7505,6468,1909,800
14000US17031842900,2165,1072,1210,94,378,216,938,281,2165,1563,2165,416,2165,115,2125,1638,1210,162
14000US17031843000,2969,1535,1026,112,671,546,965,318,2977,2939,2977,48,2977,0,2953,2425,1026,180
14000US17031843100,2282,674,581,47,444,262,732,103,2379,2113,2379,61,2379,17,2379,1836,581,103
14000US17031843200,3233,757,837,80,667,166,1635,365,3233,27,3233,2848,3233,0,3193,2758,837,313
14000US17031843300,1425,605,401,15,281,121,665,138,1564,902,1564,553,1564,19,1551,1154,401,70
14000US17031843400,1590,327,430,14,309,154,660,161,1590,1280,1590,238,1590,5,1567,1500,430,288
14000US17031843500,998,449,311,69,237,49,598,92,8758,5719,8758,2084,8758,81,8751,2339,311,138
14000US17031843600,2543,791,1074,20,588,369,1024,325,2543,2415,2543,41,2543,13,2526,2180,1074,193
14000US17031843700,2218,230,952,17,473,35,1232,71,2218,16,2218,355,2218,34,2209,1860,952,524
14000US17031843800,1886,613,571,56,384,193,941,363,1910,1056,1910,340,1910,27,1907,1204,571,229
14000US17031843900,3357,760,1836,93,719,455,1745,348,3392,3145,3392,169,3392,0,3357,2507,1836,481
14000US17031980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000US17031980100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000US17043840000,3136,396,884,0,767,138,1836,166,3136,187,3136,1950,3136,8,3120,2716,884,585
14000US17043840801,2264,429,827,24,466,170,1093,97,2423,131,2423,1298,2423,23,2423,2168,827,427
16000US1714000,2656947,601378,1028746,42852,565707,176603,1431300,194493,2706101,873393,2706101,775748,2706101,48535,2668409,2230217,1028746,466089
