geoid,B17001001 - Total:,B17001002 - Income in the past 12 months below poverty level:,B19057001 - Total:,B19057002 - With public assistance income,B11001002 - Family households:,"B11001006 - Female householder, no husband present",B23025003 - Civilian labor force:,B23025005 - Unemployed,B02001001 - Total:,B02001003 - Black or African American alone,B03001001 - Total:,B03001003 - Hispanic or Latino:,B05002001 - Total:,B05002009 - Born outside the United States:,B07001001 - Total:,B07001017 - Same house 1 year ago:,B25003001 - Total:,B25003002 - Owner occupied
14000US17031360200,1487,816,640,66,434,368,640,246,1487,1368,1487,26,1487,0,1487,1225,640,16
14000US17031380100,1949,688,895,57,382,258,892,229,1949,1735,1949,0,1949,0,1930,1655,895,271
14000US17031380200,1690,496,1030,8,292,99,479,97,1690,1509,1690,38,1690,0,1628,1527,1030,160
14000US17031380500,841,263,297,17,196,172,400,96,841,835,841,0,841,0,818,756,297,0
14000US17031380700,1093,264,482,11,149,77,484,91,1264,981,1264,7,1264,0,1246,1015,482,121
14000US17031381200,2008,351,1045,71,472,346,1157,292,2008,1925,2008,38,2008,0,1990,1796,1045,256
14000US17031381400,1687,510,616,21,375,258,967,325,1687,1669,1687,31,1687,13,1687,1396,616,216
14000US17031381500,178,54,138,0,24,11,119,32,178,159,178,0,178,0,178,126,138,3
14000US17031381700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000US17031381800,1272,327,564,31,241,96,679,150,1300,890,1300,261,1300,0,1252,1078,564,146
14000US17031381900,1335,330,561,14,267,168,659,125,1335,1207,1335,0,1335,6,1335,1105,561,180
14000US17031390100,1376,102,534,11,326,155,725,102,1376,1287,1376,46,1376,5,1355,1150,534,174
14000US17031390200,1746,534,856,10,428,232,998,200,1746,1589,1746,13,1746,0,1733,1542,856,435
14000US17031390300,2665,1220,1306,61,530,388,1065,209,2900,2671,2900,34,2900,8,2814,2214,1306,198
14000US17031390400,2731,1080,1448,75,491,314,1145,222,2765,2553,2765,41,2765,29,2740,2443,1448,304
14000US17031390500,1621,288,786,29,352,112,910,111,1621,1151,1621,35,1621,5,1610,1309,786,234
14000US17031390600,1969,265,878,19,492,97,1149,106,1969,769,1969,141,1969,31,1948,1407,878,364
14000US17031390700,5644,1111,3337,63,976,250,2964,443,5644,2616,5644,435,5644,44,5615,3858,3337,950
14000US17031400300,1392,420,517,37,340,193,666,124,1404,1392,1404,12,1404,0,1378,979,517,174
14000US17031400400,1594,734,684,36,390,365,736,285,1604,1592,1604,19,1604,0,1581,1174,684,134
14000US17031400500,2318,1375,781,107,484,311,753,275,2338,2314,2338,0,2338,14,2280,1679,781,89
14000US17031400800,2884,1702,1106,124,701,532,995,359,2884,2855,2884,1,2884,0,2848,1875,1106,70
14000US17031410100,1797,497,1091,25,294,99,1121,82,1797,906,1797,371,1797,7,1731,1386,1091,198
14000US17031410200,895,330,563,0,171,35,495,55,1061,226,1061,24,1061,32,1047,500,563,104
14000US17031410500,2584,726,1162,13,472,204,1618,308,2689,1541,2689,114,2689,7,2661,1995,1162,411
14000US17031410600,2335,554,1118,49,405,83,1393,29,2513,982,2513,47,2513,46,2502,1583,1118,335
14000US17031410700,1910,354,1081,16,354,90,1107,79,1939,484,1939,79,1939,28,1921,1273,1081,353
14000US17031410800,3207,743,1587,24,590,261,1674,148,3207,1410,3207,242,3207,63,3154,2188,1587,484
14000US17031410900,2871,523,1504,0,550,136,1707,145,2990,933,2990,187,2990,129,2981,2411,1504,710
14000US17031411000,3067,607,1953,14,487,65,1813,146,3492,935,3492,148,3492,45,3485,2382,1953,746
